date;num0;num1;num2;num3;num4
11/02/2023;43;9;15;47;45
08/02/2023;44;24;16;21;34
06/02/2023;32;13;5;21;6
04/02/2023;42;26;31;13;16
01/02/2023;12;48;38;35;9
30/01/2023;35;27;8;30;34
28/01/2023;15;44;5;30;45
25/01/2023;32;26;44;18;21
23/01/2023;28;6;10;35;32
21/01/2023;41;4;45;18;24
18/01/2023;7;35;48;39;11
16/01/2023;5;31;10;19;28
14/01/2023;22;36;40;13;14
11/01/2023;8;16;17;3;47
09/01/2023;38;1;48;30;20
07/01/2023;8;43;7;21;34
04/01/2023;3;5;49;38;25
02/01/2023;49;39;45;41;1
31/12/2022;35;39;16;11;23
28/12/2022;29;1;3;35;8
26/12/2022;6;23;32;49;48
24/12/2022;12;41;47;46;6
21/12/2022;11;22;15;12;21
19/12/2022;43;35;6;31;36
17/12/2022;46;27;42;23;8
14/12/2022;15;37;4;20;6
12/12/2022;46;25;47;2;35
10/12/2022;6;43;29;13;27
07/12/2022;2;12;38;15;10
05/12/2022;36;45;9;24;17
03/12/2022;32;19;34;26;27
30/11/2022;44;18;28;49;30
28/11/2022;24;46;9;2;13
26/11/2022;5;7;28;23;2
23/11/2022;46;36;45;15;19
21/11/2022;45;33;47;15;23
19/11/2022;40;24;19;1;28
16/11/2022;1;8;48;38;3
14/11/2022;28;23;34;44;14
12/11/2022;14;44;34;25;4
09/11/2022;15;2;1;41;30
07/11/2022;24;8;9;40;31
05/11/2022;40;6;38;23;32
02/11/2022;45;7;38;4;26
31/10/2022;34;25;45;44;4
29/10/2022;33;28;48;44;26
26/10/2022;45;30;4;2;23
24/10/2022;43;28;33;37;29
22/10/2022;12;2;25;35;7
19/10/2022;35;16;38;46;25
17/10/2022;38;49;20;16;40
15/10/2022;31;16;27;24;46
12/10/2022;17;44;7;40;39
10/10/2022;19;40;32;13;46
08/10/2022;17;20;48;16;34
05/10/2022;32;23;39;35;14
03/10/2022;20;40;31;7;23
01/10/2022;8;7;35;36;26
28/09/2022;12;39;26;14;29
26/09/2022;29;49;35;18;39
24/09/2022;25;6;32;7;4
21/09/2022;3;12;22;9;37
19/09/2022;5;7;44;15;33
17/09/2022;12;17;1;20;3
14/09/2022;40;10;38;26;45
12/09/2022;4;49;20;7;21
10/09/2022;25;3;8;49;24
07/09/2022;20;35;30;3;29
05/09/2022;5;1;35;27;40
03/09/2022;35;24;44;38;32
31/08/2022;9;39;10;15;45
29/08/2022;5;10;28;34;22
27/08/2022;32;39;22;11;34
24/08/2022;39;42;36;27;22
22/08/2022;39;46;2;9;44
20/08/2022;21;38;17;1;46
17/08/2022;16;5;14;29;17
15/08/2022;34;4;48;42;22
13/08/2022;17;38;37;11;39
10/08/2022;15;35;11;28;9
08/08/2022;41;22;3;37;40
06/08/2022;37;28;23;38;6
03/08/2022;45;10;5;40;32
01/08/2022;38;1;4;23;30
30/07/2022;14;21;24;2;38
27/07/2022;13;43;31;47;46
25/07/2022;26;42;13;7;24
23/07/2022;15;47;39;25;41
20/07/2022;29;21;31;47;17
18/07/2022;18;29;49;37;5
16/07/2022;3;33;4;49;14
13/07/2022;30;48;7;31;46
11/07/2022;10;5;49;47;1
09/07/2022;37;24;34;9;8
06/07/2022;43;16;10;25;44
04/07/2022;18;20;4;12;26
02/07/2022;32;20;22;46;34
29/06/2022;16;47;43;24;26
27/06/2022;34;31;36;24;37
